data,pret inchidere,pret inchidere ajustat,volum
2005-11-30,0.1073,0.2473,8831170
2005-12-05,0.1026,0.2365,3208431
2005-12-06,0.1007,0.2321,3655776
2005-12-07,0.1035,0.2386,1718088
2005-12-08,0.1035,0.2386,2451677
2005-12-09,0.1007,0.2321,953047
2005-12-12,0.0998,0.2299,1522904
2005-12-13,0.0969,0.2234,1202711
2005-12-14,0.0951,0.2191,1539610
2005-12-15,0.096,0.2213,1889027
2005-12-16,0.0979,0.2256,950829
2005-12-19,0.0998,0.2299,2044085
2005-12-20,0.0969,0.2234,2308647
2005-12-21,0.096,0.2213,983452
2005-12-22,0.0941,0.2169,2766469
2005-12-23,0.096,0.2213,35545811
2006-01-03,0.0998,0.2299,705491
2006-01-04,0.1016,0.2343,1682522
2006-01-05,0.1007,0.2321,794919
2006-01-06,0.1045,0.2408,1370215
2006-01-09,0.1082,0.2495,2656549
2006-01-10,0.1073,0.2473,2208111
2006-01-11,0.1092,0.2516,1867060
2006-01-12,0.1092,0.2516,1674356
2006-01-13,0.1092,0.2516,1065507
2006-01-16,0.1111,0.256,2151582
2006-01-17,0.1101,0.2538,2623939
2006-01-18,0.1054,0.243,2495055
2006-01-19,0.1092,0.2516,1827608
2006-01-20,0.1073,0.2473,1328812
2006-01-23,0.1064,0.2451,1323331
2006-01-24,0.1082,0.2495,2715439
2006-01-25,0.1092,0.2516,608753
2006-01-26,0.1092,0.2516,2691436
2006-01-27,0.112,0.2581,1999222
2006-01-30,0.1186,0.2733,6685411
2006-02-03,0.1195,0.2755,9893145
2006-02-06,0.1195,0.2755,3081069
2006-02-07,0.1224,0.282,2900459
2006-02-08,0.1271,0.2929,6827138
2006-02-09,0.128,0.295,2926948
2006-02-10,0.1318,0.3037,4013881
2006-02-13,0.1299,0.2994,3997359
2006-02-14,0.1242,0.2863,5770745
2006-02-15,0.1242,0.2863,3595652
2006-02-16,0.128,0.295,4125002
2006-02-17,0.1261,0.2907,1055343
2006-02-20,0.1242,0.2863,1918382
2006-02-21,0.1214,0.2798,3504518
2006-02-22,0.1242,0.2863,1690510
2006-02-23,0.1233,0.2842,1817608
2006-02-24,0.1233,0.2842,402698
2006-02-27,0.1242,0.2863,337221
2006-02-28,0.1242,0.2863,1233039
2006-03-01,0.1299,0.2994,3783986
2006-03-02,0.1252,0.2885,2011810
2006-03-03,0.128,0.295,1236909
2006-03-06,0.1261,0.2907,1528684
2006-03-07,0.1261,0.2907,343665
2006-03-08,0.1261,0.2907,509974
2006-03-09,0.1233,0.2842,1029533
2006-03-10,0.1224,0.282,2568756
2006-03-13,0.1233,0.2842,1086410
2006-03-16,0.1233,0.2842,4906548
