data,pret inchidere,pret inchidere ajustat,volum
2001-01-15,5.8997,4.3109,3325
2001-01-16,5.9934,4.3794,700
2001-01-18,5.675,4.1467,700
2001-01-19,5.9185,4.3246,3200
2001-01-22,5.7312,4.1878,1100
2001-01-23,5.6188,4.1057,1655
2001-01-24,5.6188,4.1057,3100
2001-01-25,5.6188,4.1057,2200
2001-01-26,5.6188,4.1057,8890
2001-01-29,5.6188,4.1057,12200
2001-01-30,5.6188,4.1057,1900
2001-01-31,5.6188,4.1057,14798
2001-02-05,5.6188,4.1057,1062
2001-02-07,5.6188,4.1057,400
2001-02-08,5.6188,4.1057,100
2001-02-09,5.6188,4.1057,500
2001-02-12,5.6188,4.1057,2200
2001-02-13,5.6188,4.1057,3500
2001-02-14,5.6188,4.1057,118
2001-02-16,5.6188,4.1057,1220
2001-02-19,5.6188,4.1057,15000
2001-02-20,5.6188,4.1057,11000
2001-02-21,5.6188,4.1057,300
2001-02-22,5.6188,4.1057,7100
2001-02-23,5.6188,4.1057,100
2001-02-26,5.6188,4.1057,400
2001-02-27,5.6188,4.1057,1300
2001-02-28,5.6188,4.1057,1300
2001-03-01,5.6188,4.1057,100
2001-03-02,5.6188,4.1057,975
2001-03-05,5.6188,4.1057,2281
2001-03-06,5.6188,4.1057,3501
2001-03-07,5.6188,4.1057,420
2001-03-08,5.6188,4.1057,2410
2001-03-09,5.6188,4.1057,1300
2001-03-12,5.6188,4.1057,9568
2001-03-13,5.6188,4.1057,10400
2001-03-14,5.6188,4.1057,5000
2001-03-15,5.6188,4.1057,66400
2001-03-16,5.6188,4.1057,1700
2001-03-19,4.776,3.4898,100
2001-03-20,4.0643,2.9698,67000
2001-03-21,3.4649,2.5318,123405
2001-03-22,3.1465,2.2992,328623
2001-03-23,3.2589,2.3813,129284
2001-03-26,3.3525,2.4497,93220
2001-03-27,3.184,2.3265,66755
2001-03-28,3.0903,2.2581,106564
2001-03-29,2.7907,2.0391,58255
2001-03-30,2.7157,1.9844,50340
2001-04-02,2.6221,1.916,33880
2001-04-03,2.491,1.8202,33605
2001-04-04,2.4348,1.7791,34875
2001-04-05,2.4348,1.7791,23680
2001-04-06,2.4535,1.7928,37405
