data,pret inchidere,pret inchidere ajustat,volum
2005-02-04,0.1397,0.7484,3002598
2005-02-07,0.1529,0.8193,1915966
2005-02-08,0.1449,0.7764,962145
2005-02-09,0.1393,0.7465,775085
2005-02-10,0.1428,0.7652,709420
2005-02-11,0.1432,0.767,357773
2005-02-14,0.1435,0.7689,169803
2005-02-15,0.1428,0.7652,244505
2005-02-16,0.1411,0.7559,407204
2005-02-17,0.1473,0.7894,409068
2005-02-21,0.1432,0.767,115994
2005-02-23,0.1644,0.8809,588502
2005-02-24,0.1735,0.9294,736699
2005-02-25,0.1735,0.9294,390645
2005-02-28,0.1668,0.894,209682
2005-03-02,0.1654,0.8865,209687
2005-03-03,0.1654,0.8865,100754
2005-03-04,0.1647,0.8828,122546
2005-03-07,0.1647,0.8828,142006
2005-03-08,0.1533,0.8212,151404
2005-03-09,0.1602,0.8585,101907
2005-03-10,0.1627,0.8716,82839
2005-03-11,0.1637,0.8772,84850
2005-03-14,0.1641,0.879,41235
2005-03-15,0.1599,0.8566,77667
2005-03-16,0.1599,0.8566,53341
2005-03-17,0.148,0.7932,155650
2005-03-18,0.148,0.7932,231545
2005-03-21,0.1393,0.7465,269301
2005-03-22,0.1428,0.7652,145892
2005-03-23,0.1494,0.8006,90505
2005-03-30,0.1435,0.7689,535258
2005-03-31,0.1425,0.7633,179160
2005-04-01,0.1452,0.7782,162677
2005-04-04,0.1463,0.7838,262415
2005-04-05,0.1456,0.7801,249240
2005-04-06,0.1491,0.7988,520716
2005-04-07,0.1753,0.7988,500
2005-04-08,0.1493,0.6803,58000
2005-04-11,0.1382,0.6298,81660
2005-04-12,0.1339,0.6101,132389
2005-04-13,0.1339,0.6101,72392
2005-04-14,0.1271,0.5793,68796
2005-04-15,0.1194,0.5442,177614
2005-04-18,0.1223,0.5574,87409
2005-04-19,0.1194,0.5442,99913
2005-04-20,0.1088,0.4959,62078
2005-04-21,0.1161,0.5289,84955
2005-04-22,0.1185,0.5398,45041
2005-04-25,0.1127,0.5135,76256
2005-04-26,0.1141,0.5201,83696
