data,pret inchidere,pret inchidere ajustat,volum
2010-06-08,24.5,24.5,382205
2010-06-09,25.9,25.9,40561
2010-06-10,26.8,26.8,28638
2010-06-11,25.3,25.3,51865
2010-06-14,25.7,25.7,11935
2010-06-15,25.7,25.7,6519
2010-06-16,26,26,29650
2010-06-17,26.2,26.2,5239
2010-06-18,26.4,26.4,25737
2010-06-21,27.1,27.1,40631
2010-06-22,26.9,26.9,9481
2010-06-23,27,27,7334
2010-06-24,26.9,26.9,13659
2010-06-25,26.6,26.6,45283
2010-06-28,26.5,26.5,19151
2010-06-29,25.9,25.9,66302
2010-06-30,26,26,41855
2010-07-01,26.1,26.1,672
2010-07-02,25.5,25.5,82223
2010-07-05,25.4,25.4,6549
2010-07-06,25.6,25.6,4299
2010-07-07,25.6,25.6,12999
2010-07-08,26,26,4191
2010-07-09,25.9,25.9,524
2010-07-12,25.6,25.6,432
2010-07-13,25.6,25.6,2219
2010-07-14,26.3,26.3,16973
2010-07-15,26.5,26.5,5560
2010-07-16,26.5,26.5,240
2010-07-19,26.2,26.2,305
2010-07-20,25.8,25.8,217
2010-07-21,26,26,3846
2010-07-22,26.8,26.8,6776
2010-07-23,27,27,16330
2010-07-26,26.8,26.8,905
2010-07-27,27.6,27.6,8290
2010-07-28,27.4,27.4,6147
2010-07-29,28,28,12921
2010-07-30,27.7,27.7,22521
2010-08-02,28.2,28.2,20414
2010-08-03,28.3,28.3,12519
2010-08-04,28.6,28.6,18794
2010-08-05,29,29,16340
2010-08-06,29.2,29.2,11043
2010-08-09,30,30,17013
2010-08-10,29.8,29.8,18500
2010-08-11,29.1,29.1,5088
2010-08-12,29.3,29.3,4381
2010-08-13,29.4,29.4,15077
2010-08-16,29.7,29.7,6042
2010-08-17,31.3,31.3,27285
2010-08-18,34,34,26857
2010-08-19,34.1,34.1,19814
2010-08-20,34.4,34.4,12118
2010-08-23,35,35,7846
2010-08-24,34,34,15508
2010-08-25,33.9,33.9,14320
2010-08-26,33.7,33.7,8649
2010-08-27,34.3,34.3,2247
2010-08-30,35.1,35.1,7977
2010-08-31,34.8,34.8,1164
2010-09-01,35.6,35.6,6108
2010-09-02,36.8,36.8,23223
2010-09-03,37.1,37.1,6756
2010-09-06,38.2,38.2,17465
2010-09-07,38.4,38.4,10242
2010-09-08,38,38,12586
2010-09-09,36,36,22665
2010-09-14,36.7,36.7,18313
2010-09-15,37.2,37.2,17330
2010-09-16,37.7,37.7,18725
2010-09-17,38,38,56394
2010-09-20,38,38,7085
2010-09-21,39,39,38346
2010-09-22,39,39,30832
2010-09-23,39.2,39.2,45619
2010-09-24,40,40,40875
2010-09-27,40,40,523389
2010-09-28,39,39,29856
2010-09-29,38.4,38.4,22123
2010-09-30,38.3,38.3,37878
2010-10-01,38.5,38.5,5824
2010-10-04,38.4,38.4,12588
2010-10-05,38.4,38.4,7696
2010-10-06,38.1,38.1,8712
2010-10-07,38.3,38.3,7671
2010-10-08,37.9,37.9,7331
2010-10-11,37.7,37.7,26888
2010-10-12,38.2,38.2,7396
2010-10-13,38.4,38.4,7259
2010-10-14,38.9,38.9,213753
2010-10-15,38.8,38.8,5129
2010-10-18,38.1,38.1,20105
2010-10-19,38,38,18889
2010-10-20,38.3,38.3,6525
2010-10-21,38.6,38.6,40558
2010-10-22,38.1,38.1,5944
2010-10-25,37.7,37.7,37189
2010-10-26,37.8,37.8,6154
2010-10-27,38,38,2462
2010-10-28,38.1,38.1,4758
2010-10-29,38.3,38.3,4592
2010-11-01,37.9,37.9,6355
2010-11-02,37.7,37.7,11141
2010-11-03,37.9,37.9,2529
2010-11-04,37.5,37.5,19143
2010-11-05,37.5,37.5,14091
2010-11-08,36.9,36.9,50389
2010-11-09,36.9,36.9,77680
2010-11-10,36.9,36.9,22704
2010-11-11,36.2,36.2,13593
2010-11-12,36.1,36.1,33790
2010-11-15,36.3,36.3,7960
2010-11-16,36.2,36.2,14818
2010-11-17,36.5,36.5,6116
2010-11-18,36.9,36.9,10407
2010-11-19,36.7,36.7,8066
2010-11-22,36.4,36.4,17130
2010-11-23,36,36,18727
2010-11-24,36,36,7941
2010-11-25,35.8,35.8,10463
2010-11-26,35.9,35.9,30549
2010-11-29,36,36,25981
2010-11-30,36,36,20357
2010-12-02,35.8,35.8,9855
2010-12-03,36.1,36.1,60933
2010-12-06,35.9,35.9,7943
2010-12-07,36.4,36.4,57071
2010-12-08,36.2,36.2,384077
2010-12-09,36.1,36.1,11755
2010-12-10,36.3,36.3,10516
2010-12-13,36.9,36.9,10521
2010-12-14,36.9,36.9,4051
2010-12-15,36.7,36.7,3810
2010-12-16,37.4,37.4,12643
2010-12-17,38.2,38.2,24626
2010-12-20,39.66,39.66,36768
2010-12-21,40.19,40.19,24191
2010-12-22,40.6,40.6,59191
2010-12-23,40.6,40.6,73088
2010-12-27,40.38,40.38,4575
2010-12-28,40.5,40.5,6271
2010-12-29,40.3,40.3,6191
2010-12-30,40.75,40.75,11172
2011-01-03,41.58,41.58,41799
2011-01-04,41.59,41.59,20638
2011-01-05,41.5,41.5,17530
2011-01-06,41.85,41.85,22077
2011-01-07,41.3,41.3,22066
2011-01-10,42.27,42.27,32434
2011-01-11,42.87,42.87,23690
2011-01-12,44,44,39032
2011-01-13,44.8,44.8,37748
2011-01-14,45,45,17655
2011-01-17,45,45,7200
2011-01-18,43.3,43.3,13686
2011-01-19,44.49,44.49,6476
2011-01-20,44.3,44.3,2656
2011-01-21,43.5,43.5,8625
2011-01-24,43.7,43.7,2573
2011-01-25,43.4,43.4,45286
2011-01-26,42.84,42.84,8623
2011-01-27,41.75,41.75,23818
2011-01-28,43.2,43.2,92793
2011-01-31,42.7,42.7,5247
2011-02-01,43.9,43.9,61398
2011-02-02,43.89,43.89,5715
2011-02-03,43.89,43.89,19018
2011-02-04,43.69,43.69,6164
2011-02-07,43.6,43.6,979
2011-02-08,43,43,6195
2011-02-09,42.6,42.6,2317
2011-02-10,42.3,42.3,7894
2011-02-11,41.63,41.63,9009
2011-02-14,41.25,41.25,8514
2011-02-15,41.25,41.25,22610
2011-02-16,40.45,40.45,21387
2011-02-17,41.24,41.24,6947
2011-02-18,42,42,21016
2011-02-21,41.89,41.89,3247
2011-02-22,40.9,40.9,2212
2011-02-23,41.7,41.7,3692
2011-02-24,41.6,41.6,1681
2011-02-25,42,42,4131
2011-02-28,43.2,43.2,22563
2011-03-01,43,43,58382
2011-03-02,43,43,33544
2011-03-03,43,43,29409
2011-03-04,42.7,42.7,33342
2011-03-07,42.47,42.47,89873
2011-03-08,42.5,42.5,11278
2011-03-09,42.8,42.8,16956
2011-03-10,42.2,42.2,6388
2011-03-11,41.95,41.95,3317
2011-03-14,41.9,41.9,7546
2011-03-15,41,41,37771
2011-03-16,41.2,41.2,18347
2011-03-17,42,42,5216
2011-03-18,41.8,41.8,1811
2011-03-21,42,42,18733
2011-03-22,42,42,39001
2011-03-23,42,42,1354
2011-03-24,42,42,49232
2011-03-25,42.2,42.2,60304
2011-03-28,43,43,41183
2011-03-29,43.1,43.1,16671
2011-03-30,43.8,43.8,10169
2011-03-31,43.5,43.5,19370
2011-04-01,42.82,42.82,5313
2011-04-04,43,43,53653
2011-04-05,42.81,42.81,82017
2011-04-06,43,43,2245
2011-04-07,42.9,42.9,2055
2011-04-08,42.99,42.99,27921
2011-04-11,42.75,42.75,7303
2011-04-12,43.05,43.05,9677
2011-04-13,44,44,33111
2011-04-14,43.6,43.6,16964
2011-04-15,42.75,42.75,15731
2011-04-18,41.5,41.5,19858
2011-04-19,41.5,41.5,15288
2011-04-20,42,42,16551
2011-04-21,41.8,41.8,5203
2011-04-22,42.8,42.8,4361
2011-04-26,41.8,41.8,1480
2011-04-27,41.2,41.2,41073
2011-04-28,42,42,5575
2011-05-03,40.9,40.9,2754
2011-05-04,40.9,40.9,1142
2011-05-05,41,41,2608
2011-05-06,41,41,1780
2011-05-09,40.3,40.3,2593
2011-05-10,40.9,40.9,4980
2011-05-11,40.4,40.4,4002
2011-05-12,39.41,39.41,13173
2011-05-13,40.8,40.8,4546
2011-05-16,40.6,40.6,14223
2011-05-17,40.8,40.8,4323
2011-05-18,40.4,40.4,76486
2011-05-19,40,40,593
2011-05-20,40.6,40.6,4614
2011-05-23,40.25,40.25,10971
2011-05-24,39.9,39.9,6633
2011-05-25,40.87,40.87,98335
2011-05-26,40.77,40.77,1217
2011-05-27,41.6,41.6,8523
2011-05-30,41.3,41.3,574
2011-05-31,40.7,40.7,8294
2011-06-01,41.9,41.9,1335
2011-06-02,41.69,41.69,1124
2011-06-03,40.88,40.88,3210
2011-06-06,40.7,40.7,1315
2011-06-07,41,41,4079
2011-06-08,40,40,1934
2011-06-09,38,38,14922
2011-06-10,37.5,37.5,21129
2011-06-14,38,38,13657
2011-06-15,37.3,37.3,10442
2011-06-16,36.5,36.5,12056
2011-06-17,37.5,37.5,10844
2011-06-20,36.8,36.8,1436
2011-06-21,36.9,36.9,1746
2011-06-22,37,37,9369
2011-06-23,37,37,29601
2011-06-28,37.5,37.5,18566
2011-06-29,36.72,36.72,36
2011-06-30,37.4,37.4,14247
2011-07-01,38,38,9029
2011-07-04,38,38,4895
2011-07-05,39,39,6121
2011-07-06,40,40,6715
2011-07-07,39,39,10160
2011-07-08,39,39,131
2011-07-11,38.05,38.05,16082
2011-07-12,37.52,37.52,3559
2011-07-13,37.56,37.56,2342
2011-07-14,38,38,4973
2011-07-15,38.3,38.3,1134
2011-07-18,37.03,37.03,448
2011-07-19,36.99,36.99,5465
2011-07-20,36.5,36.5,2360
2011-07-21,37,37,3217
2011-07-22,37,37,74258
2011-07-25,36.61,36.61,383
2011-07-26,36.76,36.76,10108
2011-07-27,37,37,602
2011-07-28,37.99,37.99,6518
2011-07-29,37.85,37.85,1989
2011-08-01,37.36,37.36,4557
2011-08-02,35.8,35.8,7676
2011-08-03,35.21,35.21,607
2011-08-04,34.22,34.22,3432
2011-08-05,33,33,46910
2011-08-08,28.06,28.06,31138
2011-08-09,29.86,29.86,79349
2011-08-10,31,31,21487
2011-08-11,31,31,21238
2011-08-12,32,32,47655
2011-08-16,32,32,12711
2011-08-17,32.8,32.8,8697
2011-08-18,31.1,31.1,31457
2011-08-19,30.16,30.16,8631
2011-08-22,30.5,30.5,5613
2011-08-23,30.9,30.9,3549
2011-08-24,31,31,626
2011-08-25,31.1,31.1,221
2011-08-26,31,31,218
2011-08-29,31.85,31.85,274
2011-08-30,31.7,31.7,1849
2011-08-31,32,32,3318
2011-09-01,31.5,31.5,446
2011-09-02,30.4,30.4,3281
2011-09-05,30,30,10348
2011-09-06,30,30,10034
2011-09-07,30.05,30.05,3750
2011-09-08,30.04,30.04,320
2011-09-09,30.2,30.2,535
2011-09-12,30,30,67984
2011-09-13,30,30,13086
2011-09-14,30,30,46281
2011-09-15,30.02,30.02,50468
2011-09-16,29.5,29.5,18604
2011-09-19,29.35,29.35,66126
2011-09-20,30.1,30.1,20949
2011-09-21,30,30,3544
2011-09-22,29.02,29.02,16029
2011-09-23,28.5,28.5,29476
2011-09-26,28,28,6798
2011-09-27,28.75,28.75,11780
2011-09-28,28.5,28.5,5031
2011-09-29,28.55,28.55,9404
2011-09-30,28.3,28.3,15081
2011-10-03,27,27,15626
2011-10-04,25,25,31671
2011-10-05,25.5,25.5,2451
2011-10-06,26.03,26.03,6687
2011-10-07,28.5,28.5,16541
2011-10-10,27.99,27.99,5583
2011-10-11,27,27,2072
2011-10-12,27.02,27.02,4082
2011-10-13,27.07,27.07,592
2011-10-14,27.3,27.3,992
2011-10-17,27,27,2599
2011-10-18,27,27,3957
2011-10-19,27.5,27.5,2987
2011-10-20,27.5,27.5,8674
2011-10-21,27.05,27.05,1110
2011-10-24,27.69,27.69,367
2011-10-25,27.5,27.5,18558
2011-10-26,27.2,27.2,4846
2011-10-27,27.95,27.95,14105
2011-10-28,27.5,27.5,8108
2011-10-31,27,27,866
2011-11-01,27,27,8460
2011-11-02,27,27,6741
2011-11-03,27,27,18824
2011-11-04,26.95,26.95,510
2011-11-07,27.3,27.3,1911
2011-11-08,27.19,27.19,955
2011-11-09,27,27,1718
2011-11-10,27.1,27.1,15536
2011-11-11,27,27,10532
2011-11-14,27.25,27.25,18374
2011-11-15,28,28,11150
2011-11-16,28.5,28.5,10782
2011-11-17,28,28,24546
2011-11-18,28.49,28.49,4264
2011-11-21,28.01,28.01,578
2011-11-22,28.2,28.2,28130
2011-11-23,27.7,27.7,2717
2011-11-24,27.62,27.62,1512
2011-11-25,27.02,27.02,6899
2011-11-28,27.04,27.04,933
2011-11-29,27.1,27.1,5165
2011-11-30,27.03,27.03,14672
2011-12-02,27,27,6486
2011-12-05,27.5,27.5,5130
2011-12-06,27.49,27.49,6421
2011-12-07,27.95,27.95,22242
2011-12-08,28.45,28.45,17829
2011-12-09,27.79,27.79,1471
2011-12-12,27.7,27.7,301
2011-12-13,27.5,27.5,300
2011-12-14,27.21,27.21,3420
2011-12-15,27.2,27.2,1016
2011-12-16,27.95,27.95,23973
2011-12-19,28.3,28.3,77805
2011-12-20,30,30,55182
2011-12-21,29.01,29.01,7343
2011-12-22,29.75,29.75,12202
2011-12-23,28.97,28.97,344
2011-12-27,28.8,28.8,218
2011-12-28,28.88,28.88,423
2011-12-29,28.99,28.99,100
2011-12-30,28.9,28.9,4192
2012-01-04,28.88,28.88,2167
2012-01-05,28.89,28.89,1191
2012-01-06,28.92,28.92,8
2012-01-11,28.7,28.7,2114
2012-01-12,28.1,28.1,32779
2012-01-13,27.99,27.99,14155
2012-01-16,28,28,24236
2012-01-17,28,28,7998
2012-01-18,28,28,10124
2012-01-19,28,28,6954
2012-01-20,28.39,28.39,40581
2012-01-23,28.2,28.2,1269
2012-01-24,28.77,28.77,1404
2012-01-25,28.67,28.67,1554
2012-01-26,28.7,28.7,5594
2012-01-27,30,30,19127
2012-01-30,30.7,30.7,18436
2012-01-31,33.4,33.4,207863
2012-02-01,33.5,33.5,35146
2012-02-02,33.4,33.4,17384
2012-02-03,34.5,34.5,118796
2012-02-06,34.6,34.6,32877
2012-02-07,35,35,8142
2012-02-08,35.5,35.5,21531
2012-02-09,35.95,35.95,8285
2012-02-10,35.44,35.44,5632
2012-02-13,35.5,35.5,5462
2012-02-14,35.45,35.45,2139
2012-02-15,35,35,37739
2012-02-16,34.96,34.96,4575
2012-02-17,35,35,923
2012-02-20,34.8,34.8,1862
2012-02-21,34,34,7743
2012-02-22,33,33,2865
2012-02-23,33,33,2038
2012-02-24,33,33,3149
2012-02-27,32.31,32.31,5950
2012-02-28,31.5,31.5,10759
2012-02-29,32.49,32.49,3056
2012-03-01,33.48,33.48,6610
2012-03-02,32.75,32.75,16524
2012-03-05,33,33,3956
2012-03-06,32.5,32.5,1578
2012-03-07,32.4,32.4,3098
2012-03-08,33,33,3572
2012-03-09,33,33,4172
2012-03-12,32.3,32.3,2959
2012-03-13,32.7,32.7,3320
2012-03-14,32.9,32.9,8132
2012-03-15,32.71,32.71,1604
2012-03-16,33,33,1465
2012-03-19,33,33,3945
2012-03-20,32.6,32.6,4996
2012-03-21,32.4,32.4,4506
2012-03-22,32.59,32.59,5618
2012-03-23,32.49,32.49,297
2012-03-26,32.55,32.55,2368
2012-03-27,32.9,32.9,10638
2012-03-28,32.9,32.9,7355
2012-03-29,32.6,32.6,36582
2012-03-30,33.6,33.6,5448
2012-04-02,33.48,33.48,137
2012-04-03,33.11,33.11,487
2012-04-04,32.89,32.89,1503
2012-04-05,33.43,33.43,718
2012-04-06,33,33,22090
2012-04-09,32.75,32.75,274
2012-04-10,32.45,32.45,2399
2012-04-11,32.84,32.84,2628
2012-04-12,32.7,32.7,21456
2012-04-13,32.83,32.83,11617
2012-04-17,32.83,32.83,4023
2012-04-18,32.79,32.79,211
2012-04-19,32.96,32.96,36929
2012-04-20,32.95,32.95,221
2012-04-23,32.79,32.79,4812
2012-04-24,32.89,32.89,2090
2012-04-27,32.09,32.09,2473
2012-04-30,32.9,32.9,9005
2012-05-02,32.06,32.06,2117
2012-05-03,32.76,32.76,138
2012-05-04,33,33,16795
2012-05-07,32.4,32.4,229687
2012-05-08,32.3,32.3,4025
2012-05-09,31.95,31.95,5154
2012-05-10,31,31,52604
2012-05-11,30.8,30.8,99
2012-05-14,29.03,29.03,1373
2012-05-15,28.5,28.5,4697
2012-05-16,27.5,27.5,8422
2012-05-17,26.2,26.2,1455
2012-05-18,26.09,26.09,787
2012-05-21,26,26,334
2012-05-22,26,26,2108
2012-05-23,26,26,248
2012-05-24,25.85,25.85,1113
2012-05-25,25.94,25.94,343
2012-05-28,25.5,25.5,789
2012-05-29,25.4,25.4,325
2012-05-30,24.5,24.5,5963
2012-05-31,23.93,23.93,5921
2012-06-01,23.95,23.95,20869
2012-06-05,23.2,23.2,2539
2012-06-06,24,24,865
2012-06-07,24.6,24.6,982
2012-06-08,24.3,24.3,600
2012-06-11,24.3,24.3,3754
2012-06-12,24.2,24.2,471
2012-06-13,24.9,24.9,673
2012-06-14,24.5,24.5,407
2012-06-15,24.2,24.2,790
2012-06-18,24.31,24.31,1757
2012-06-19,24.4,24.4,108
2012-06-20,24.7,24.7,37
2012-06-21,24.06,24.06,1618
2012-06-22,23.9,23.9,346
2012-06-25,23,23,4094
2012-06-26,23.19,23.19,246
2012-06-27,23.24,23.24,78423
2012-06-28,22.8,22.8,1504
2012-06-29,23.38,23.38,1794
2012-07-02,24.4,24.4,1594
2012-07-03,24.4,24.4,543
2012-07-04,23.8,23.8,1746
2012-07-05,23.88,23.88,939
2012-07-06,23.21,23.21,3993
2012-07-09,24,24,3057
2012-07-10,23.9,23.9,3890
2012-07-11,23.62,23.62,207
2012-07-12,23.5,23.5,10412
2012-07-13,23.5,23.5,10
2012-07-16,23,23,10354
2012-07-17,23.3,23.3,1736
2012-07-18,23.43,23.43,154
2012-07-19,23.6,23.6,6207
2012-07-20,23.48,23.48,3815
2012-07-23,22.91,22.91,2780
2012-07-24,22.71,22.71,10660
2012-07-25,23.48,23.48,8812
2012-07-26,23.5,23.5,865
2012-07-27,22.92,22.92,5289
2012-07-30,23.2,23.2,3502
2012-07-31,23.23,23.23,232
2012-08-01,23.2,23.2,3092
2012-08-02,23,23,2063
2012-08-03,23.01,23.01,2118
2012-08-06,23.09,23.09,2128
2012-08-07,23,23,4792
2012-08-08,23.1,23.1,1185
2012-08-09,23.1,23.1,234
2012-08-10,23.2,23.2,1820
2012-08-13,23.3,23.3,7033
2012-08-14,23.64,23.64,1727
2012-08-16,23.5,23.5,3552
2012-08-17,24.14,24.14,12006
2012-08-20,24.2,24.2,9149
2012-08-21,24.39,24.39,11861
2012-08-22,24.2,24.2,2352
2012-08-23,24,24,7415
2012-08-24,23.78,23.78,3111
2012-08-27,23.9,23.9,2547
2012-08-28,23.56,23.56,2371
2012-08-29,23.5,23.5,6087
2012-08-30,23.5,23.5,934
2012-08-31,23.55,23.55,4296
2012-09-03,23.45,23.45,1604
2012-09-04,23.55,23.55,6670
2012-09-05,23.45,23.45,1009
2012-09-06,23.3,23.3,5344
2012-09-07,24,24,3919
2012-09-10,24.14,24.14,10419
2012-09-11,23.88,23.88,4785
2012-09-12,23.77,23.77,7993
2012-09-13,23.8,23.8,942
2012-09-14,23.81,23.81,5041
2012-09-17,23.8,23.8,848
2012-09-18,23.75,23.75,3684
2012-09-19,23.76,23.76,7209
2012-09-20,23.51,23.51,2317
2012-09-21,23.77,23.77,284
2012-09-24,23.6,23.6,2067
2012-09-25,23.56,23.56,416
2012-09-26,23.5,23.5,1315
2012-09-27,23.36,23.36,3383
2012-09-28,23.4,23.4,3542
2012-10-01,23.3,23.3,1737
2012-10-02,23.11,23.11,3581
2012-10-03,22.9,22.9,8726
2012-10-04,23,23,2083
2012-10-05,22.6,22.6,2625
2012-10-08,22.59,22.59,5024
