data,pret inchidere,pret inchidere ajustat,volum
1996-11-08,0.0002,0.0023,1633
1996-11-11,0.0002,0.0027,3801
1996-11-12,0.0002,0.0025,4364
1996-11-13,0.0003,0.0032,1070
1996-11-14,0.0002,0.0027,2140
1996-11-15,0.0003,0.0033,1115
1996-11-18,0.0003,0.0033,2184
1996-11-19,0.0003,0.0034,659
1996-11-21,0.0003,0.0034,3266
1996-11-25,0.0003,0.0036,1098
1996-11-26,0.0003,0.0036,345
1996-12-02,0.0004,0.0039,1460
1996-12-03,0.0003,0.0038,1000
1996-12-04,0.0002,0.0027,2140
1996-12-05,0.0003,0.0029,635
1996-12-06,0.0003,0.0031,3110
1996-12-10,0.0003,0.0031,1605
1996-12-11,0.0003,0.0031,535
1996-12-12,0.0003,0.0034,535
1996-12-13,0.0003,0.0031,535
1996-12-16,0.0003,0.0031,1084
1996-12-17,0.0004,0.0041,3429
1996-12-18,0.0003,0.0032,1084
1996-12-19,0.0004,0.0041,4649
1996-12-20,0.0004,0.0041,3920
1996-12-23,0.0003,0.0038,535
1996-12-24,0.0004,0.004,1000
1997-01-06,0.0004,0.0047,500
1997-01-08,0.0004,0.0047,125
1997-01-10,0.0004,0.0045,1176
1997-01-13,0.0004,0.0046,1035
1997-01-14,0.0004,0.0046,649
1997-01-15,0.0005,0.0058,100
1997-01-20,0.0004,0.0049,1070
1997-01-21,0.0006,0.0063,150
1997-01-22,0.0004,0.0049,535
1997-01-23,0.0005,0.0054,2168
1997-01-24,0.0006,0.0063,340
1997-01-28,0.0005,0.0059,2677
1997-01-29,0.0006,0.0067,1000
1997-01-30,0.0005,0.0055,1605
1997-01-31,0.0005,0.0055,2689
1997-02-03,0.0005,0.006,535
1997-02-04,0.0005,0.006,1084
1997-02-05,0.0005,0.0055,3310
1997-02-06,0.0005,0.0055,1605
1997-02-07,0.0005,0.0055,1098
1997-02-10,0.0005,0.0054,11854
1997-02-11,0.0005,0.0054,1070
1997-02-13,0.0006,0.0065,11333
1997-02-14,0.0006,0.0065,2178
1997-02-17,0.0005,0.0055,2140
1997-02-18,0.0005,0.0055,8109
1997-02-19,0.0005,0.0055,20526
1997-02-20,0.0006,0.0068,2140
1997-02-21,0.0006,0.007,9146
1997-02-24,0.0006,0.0063,4829
1997-02-25,0.0005,0.0058,8204
1997-02-26,0.0005,0.006,4995
1997-02-27,0.0005,0.0061,1000
1997-02-28,0.0005,0.0061,10385
1997-03-03,0.0005,0.0058,2968
1997-03-04,0.0006,0.0063,5071
1997-03-05,0.0005,0.0058,2392
1997-03-06,0.0005,0.0061,9670
1997-03-07,0.0005,0.0056,5927
1997-03-10,0.0005,0.0056,5711
1997-03-11,0.0005,0.0054,2689
1997-03-12,0.0005,0.0054,4322
1997-03-13,0.0005,0.0058,3113
1997-03-14,0.0005,0.0054,11453
1997-03-17,0.0005,0.0053,1619
1997-03-18,0.0005,0.0053,8140
1997-03-19,0.0005,0.0053,3224
1997-03-20,0.0005,0.0053,7560
1997-03-21,0.0005,0.0054,3210
1997-03-24,0.0005,0.0055,4899
1997-03-25,0.0005,0.0056,10305
1997-03-26,0.0005,0.0056,5420
1997-03-27,0.0005,0.0056,8997
1997-03-28,0.0005,0.0057,5899
1997-03-31,0.0005,0.0057,2675
1997-04-01,0.0005,0.0058,3224
1997-04-02,0.0005,0.0058,5959
1997-04-03,0.0005,0.0057,5940
1997-04-04,0.0005,0.0061,4871
1997-04-07,0.0005,0.0057,2154
1997-04-08,0.0005,0.0058,3252
1997-04-09,0.0005,0.0057,16212
1997-04-10,0.0005,0.0056,8323
1997-04-11,0.0005,0.0056,1619
1997-04-14,0.0005,0.0058,8223
1997-04-15,0.0005,0.0057,4350
1997-04-16,0.0005,0.0058,6490
1997-04-17,0.0005,0.0058,7011
1997-04-18,0.0005,0.0056,4350
1997-04-21,0.0005,0.0055,4885
1997-04-22,0.0005,0.0054,8067
