data,pret inchidere,pret inchidere ajustat,volum
2011-01-25,0.6495,0.6495,333210900
2011-01-26,0.64,0.64,221177582
2011-01-27,0.63,0.63,165339648
2011-01-28,0.62,0.62,65606216
2011-01-31,0.615,0.615,80509064
2011-02-01,0.623,0.623,49408954
2011-02-02,0.635,0.635,102812336
2011-02-03,0.635,0.635,12680429
2011-02-04,0.63,0.63,12942619
2011-02-07,0.6295,0.6295,20795906
2011-02-08,0.6295,0.6295,20648839
2011-02-09,0.627,0.627,25505697
2011-02-10,0.6165,0.6165,39134957
2011-02-11,0.612,0.612,32070787
2011-02-14,0.6085,0.6085,34665568
2011-02-15,0.6,0.6,44429634
2011-02-16,0.593,0.593,44990544
2011-02-17,0.5795,0.5795,62059044
2011-02-18,0.595,0.595,93482813
2011-02-21,0.6,0.6,26991935
2011-02-22,0.595,0.595,14178591
2011-02-23,0.5955,0.5955,36654450
2011-02-24,0.5955,0.5955,54245874
2011-02-25,0.6035,0.6035,29228142
2011-02-28,0.6125,0.6125,25229563
2011-03-01,0.613,0.613,28412272
2011-03-02,0.61,0.61,27250709
2011-03-03,0.616,0.616,36224361
2011-03-04,0.6135,0.6135,11912417
2011-03-07,0.601,0.601,28810472
2011-03-08,0.6025,0.6025,20444802
2011-03-09,0.6,0.6,13398158
2011-03-10,0.6,0.6,12198487
2011-03-11,0.602,0.602,11920490
2011-03-14,0.6005,0.6005,19192528
2011-03-15,0.592,0.592,38225570
2011-03-16,0.595,0.595,37158239
2011-03-17,0.5945,0.5945,81709041
2011-03-18,0.607,0.607,34790451
2011-03-21,0.611,0.611,43595500
2011-03-22,0.612,0.612,12978477
2011-03-23,0.6115,0.6115,24970911
2011-03-24,0.609,0.609,23267633
2011-03-25,0.6095,0.6095,30296980
2011-03-28,0.6095,0.6095,26499092
2011-03-29,0.61,0.61,26951652
2011-03-30,0.614,0.614,22239445
2011-03-31,0.612,0.612,17895358
2011-04-01,0.6125,0.6125,7992317
2011-04-04,0.61,0.61,11931133
2011-04-05,0.6085,0.6085,17031867
2011-04-06,0.6085,0.6085,12510777
2011-04-07,0.607,0.607,59528713
2011-04-08,0.609,0.609,15852951
2011-04-11,0.606,0.606,16904645
2011-04-12,0.599,0.599,27852646
2011-04-13,0.5975,0.5975,10108999
2011-04-14,0.591,0.591,32730514
2011-04-15,0.586,0.586,32306335
2011-04-18,0.584,0.584,16431711
2011-04-19,0.575,0.575,28452724
2011-04-20,0.5785,0.5785,31616976
2011-04-21,0.58,0.58,35511170
2011-04-22,0.58,0.58,1308500
2011-04-26,0.579,0.579,4184010
2011-04-29,0.5605,0.5605,79162933
2011-05-02,0.546,0.546,54912437
2011-05-03,0.538,0.538,33152159
2011-05-04,0.545,0.545,17953375
2011-05-05,0.545,0.545,9572526
2011-05-06,0.559,0.559,4816213
2011-05-09,0.557,0.557,10066883
2011-05-10,0.545,0.545,15816447
2011-05-11,0.535,0.535,38338056
2011-05-12,0.525,0.525,66102750
2011-05-13,0.534,0.534,22963404
2011-05-16,0.5305,0.5305,13733729
2011-05-17,0.525,0.525,11244180
2011-05-18,0.519,0.519,11663128
2011-05-19,0.507,0.507,47518407
2011-05-20,0.5065,0.5065,2590767
2011-05-23,0.5015,0.5015,11409214
2011-05-24,0.5,0.5,38767005
2011-05-25,0.485,0.485,61315627
2011-05-26,0.4905,0.4905,65810517
2011-05-27,0.4879,0.4879,46020872
2011-05-30,0.485,0.485,19289732
2011-05-31,0.486,0.486,56470177
2011-06-01,0.502,0.502,249731758
2011-06-02,0.501,0.501,30618814
2011-06-03,0.5005,0.5005,43719155
2011-06-06,0.5,0.5,43794968
2011-06-07,0.5005,0.5005,67495370
2011-06-08,0.502,0.502,44524380
2011-06-09,0.502,0.502,32719550
2011-06-10,0.51,0.51,39878945
2011-06-14,0.5345,0.5345,65698858
2011-06-15,0.535,0.535,49020355
2011-06-16,0.528,0.528,66892187
2011-06-17,0.54,0.54,26772614
