data,pret inchidere,pret inchidere ajustat,volum
2001-09-03,0.0677,0.0688,5349796
2001-09-04,0.058,0.059,8687910
2001-09-05,0.0493,0.0502,1404743
2001-09-06,0.042,0.0427,3149299
2001-09-07,0.0388,0.0394,22080610
2001-09-10,0.0435,0.0443,18469583
2001-09-11,0.0493,0.0502,8061406
2001-09-12,0.0561,0.057,9597056
2001-09-13,0.0638,0.0649,16130869
2001-09-14,0.0551,0.0561,13186201
2001-09-17,0.0513,0.0521,5207859
2001-09-18,0.0503,0.0511,9518554
2001-09-19,0.0493,0.0502,12668807
2001-09-20,0.0484,0.0492,2449107
2001-09-21,0.045,0.0457,4998093
2001-09-24,0.0431,0.0439,7852103
2001-09-25,0.0442,0.0449,9968827
2001-09-26,0.0435,0.0443,7074181
2001-09-27,0.044,0.0447,1619996
2001-09-28,0.0426,0.0433,7084663
2001-10-01,0.0416,0.0423,7308663
2001-10-02,0.0409,0.0416,4492847
2001-10-03,0.0409,0.0416,2905821
2001-10-04,0.0396,0.0402,4833988
2001-10-05,0.0393,0.0399,4339371
2001-10-08,0.0407,0.0414,5089082
2001-10-09,0.0394,0.04,15908201
2001-10-10,0.0395,0.0401,7954491
2001-10-11,0.0398,0.0405,727256
2001-10-12,0.0401,0.0408,1335161
2001-10-15,0.0397,0.0403,8024518
2001-10-16,0.0393,0.0399,4718885
2001-10-17,0.0397,0.0403,1585249
2001-10-18,0.0401,0.0408,2945237
2001-10-19,0.0408,0.0415,2955436
2001-10-22,0.0426,0.0433,145934998
2001-10-23,0.0435,0.0443,6840984
2001-10-24,0.0433,0.0441,2183270
2001-10-25,0.043,0.0438,1273273
2001-10-26,0.0445,0.0452,12644257
2001-10-29,0.0457,0.0465,3395576
2001-10-30,0.0441,0.0448,5307424
2001-10-31,0.0428,0.0435,1729797
2001-11-01,0.0427,0.0434,5070459
2001-11-02,0.0434,0.0442,3037489
2001-11-05,0.044,0.0447,2312039
2001-11-06,0.0435,0.0443,1406391
2001-11-07,0.0435,0.0443,2237482
2001-11-08,0.0435,0.0443,2735859
2001-11-09,0.0433,0.0441,10098030
2001-11-12,0.0435,0.0443,11027126
2001-11-13,0.0434,0.0442,6943446
2001-11-14,0.0426,0.0433,1450996
2001-11-15,0.0423,0.043,968532
2001-11-16,0.0426,0.0433,1462445
2001-11-19,0.0426,0.0433,1635943
2001-11-20,0.0426,0.0433,2068953
2001-11-21,0.0427,0.0434,1461562
2001-11-22,0.0428,0.0436,2606998
2001-11-26,0.0421,0.0428,6943747
2001-11-27,0.0412,0.0419,5365862
2001-11-28,0.0413,0.042,9559305
2001-11-29,0.041,0.0417,1674412
2001-11-30,0.0401,0.0408,2779762
2001-12-03,0.0398,0.0404,2100458
2001-12-04,0.0397,0.0403,1904365
2001-12-05,0.0396,0.0402,2085454
2001-12-06,0.0398,0.0405,6572426
2001-12-07,0.0397,0.0403,378651640
2001-12-10,0.0397,0.0403,1064704
2001-12-11,0.0391,0.0397,3868946
2001-12-12,0.0382,0.0388,1568829
2001-12-13,0.0387,0.0393,3000150
2001-12-14,0.038,0.0387,4029218
2001-12-17,0.0385,0.0391,13169205
2002-01-08,0.04,0.0407,3157646
2002-01-09,0.0428,0.0435,2071546
2002-01-10,0.0424,0.0431,2032964
2002-01-11,0.0404,0.0411,1953384
2002-01-14,0.0405,0.0412,1208728
2002-01-15,0.0388,0.0394,2529728
2002-01-16,0.0381,0.0387,3550899
2002-01-17,0.0381,0.0387,1349426
2002-01-18,0.0388,0.0394,17697755
2002-01-21,0.039,0.0396,1595701
2002-01-22,0.0401,0.0408,2061658
2002-01-23,0.0406,0.0413,4935413
2002-01-24,0.0415,0.0422,1506987
2002-01-25,0.0421,0.0428,26610983
2002-01-28,0.0427,0.0434,2078161
2002-01-29,0.043,0.0438,2924572
2002-01-30,0.0439,0.0446,5302098
2002-01-31,0.0445,0.0452,2413529
2002-02-01,0.0464,0.0472,5691339
2002-02-04,0.0522,0.0531,12882828
2002-02-05,0.0493,0.0502,14969346
2002-02-06,0.0464,0.0472,3897836
2002-02-07,0.0458,0.0466,1595207
2002-02-08,0.0467,0.0475,1129457
2002-02-11,0.0477,0.0485,2350822
2002-02-12,0.0457,0.0465,1143151
2002-02-13,0.0454,0.0461,2473151
2002-02-14,0.0461,0.0469,3600413
2002-02-15,0.0464,0.0472,3554471
2002-02-18,0.0493,0.0502,3942202
