data,pret inchidere,pret inchidere ajustat,volum
2006-08-29,22.8,22.8,934594
2006-08-30,22.9,22.9,181385
2006-08-31,23.6,23.6,118980
2006-09-01,25,25,239306
2006-09-04,26.7,26.7,291010
2006-09-05,28.3,28.3,277441
2006-09-06,27.4,27.4,246242
2006-09-07,27.5,27.5,188086
2006-09-08,28.1,28.1,87279
2006-09-11,28,28,100491
2006-09-12,27.9,27.9,52740
2006-09-13,27.6,27.6,43037
2006-09-14,28,28,88564
2006-09-15,28,28,39189
2006-09-18,28.3,28.3,95599
2006-09-19,28.5,28.5,150575
2006-09-20,28.6,28.6,40229
2006-09-21,28.3,28.3,29912
2006-09-22,28.5,28.5,54180
2006-09-25,28.5,28.5,46526
2006-09-26,28.4,28.4,40137
2006-09-27,28.6,28.6,53526
2006-09-28,29,29,67525
2006-09-29,29.1,29.1,15210
2006-10-02,29.6,29.6,51388
2006-10-03,30.1,30.1,96520
2006-10-04,31.8,31.8,50189
2006-10-05,31.9,31.9,38577
2006-10-06,32.1,32.1,46444
2006-10-09,33.5,33.5,82588
2006-10-10,34.5,34.5,31668
2006-10-11,33.8,33.8,29441
2006-10-12,32.9,32.9,70838
2006-10-13,32.5,32.5,25814
2006-10-16,33.9,33.9,42786
2006-10-17,33.7,33.7,37567
2006-10-18,33.1,33.1,21365
2006-10-19,32.8,32.8,26542
2006-10-20,32.6,32.6,93407
2006-10-23,31.5,31.5,79650
2006-10-24,31.8,31.8,16627
2006-10-27,33.9,33.9,204692
2006-10-30,33,33,56105
2006-10-31,33.1,33.1,25601
2006-11-01,33,33,20819
2006-11-02,32.9,32.9,16943
2006-11-03,32.4,32.4,34881
2006-11-06,31.7,31.7,42567
2006-11-07,31.1,31.1,73136
2006-11-08,29.8,29.8,37738
2006-11-09,31.3,31.3,27637
2006-11-10,32,32,21205
2006-11-13,32.2,32.2,33670
2006-11-14,32.9,32.9,11958
2006-11-15,32.6,32.6,16074
2006-11-16,31.8,31.8,15462
2006-11-17,31.9,31.9,27243
2006-11-20,32.6,32.6,19411
2006-11-21,32.7,32.7,19528
2006-11-22,32.6,32.6,8839
2006-11-23,32.2,32.2,4950
2006-11-24,32.7,32.7,4067
2006-11-27,33.2,33.2,50287
2006-11-28,32.3,32.3,12053
2006-11-29,32.2,32.2,5285
2006-11-30,32,32,12712
2006-12-04,31,31,18907
2006-12-05,31.5,31.5,16857
2006-12-06,31,31,25986
2006-12-07,31,31,24503
2006-12-08,31.3,31.3,11148
2006-12-11,32,32,14295
2006-12-12,31.9,31.9,21720
2006-12-13,33,33,28756
2006-12-14,34,34,97777
2006-12-18,34.2,34.2,39213
2006-12-19,33.8,33.8,22710
2007-01-03,36,36,59752
2007-01-04,36.2,36.2,47531
2007-01-05,36.2,36.2,25276
2007-01-08,36,36,15660
2007-01-09,36.2,36.2,49807
2007-01-10,36,36,22047
2007-01-11,36.1,36.1,8050
2007-01-12,36.1,36.1,11238
2007-01-15,36.1,36.1,18805
2007-01-16,36.7,36.7,61678
2007-01-17,37.6,37.6,25895
2007-01-18,37.1,37.1,9514
2007-01-19,36.6,36.6,10147
2007-01-22,37.2,37.2,14010
2007-01-23,37.3,37.3,95181
2007-01-24,37,37,20907
2007-01-25,37.2,37.2,14400
2007-01-26,37.1,37.1,17322
2007-01-29,37.1,37.1,10302
2007-01-30,37.5,37.5,55598
2007-01-31,37.5,37.5,9910
2007-02-01,38.3,38.3,57491
2007-02-02,39,39,64824
2007-02-05,39.6,39.6,28732
2007-02-06,39.5,39.5,55207
2007-02-07,40.3,40.3,90207
2007-02-08,39.7,39.7,62535
2007-02-09,39.4,39.4,21536
2007-02-12,39.7,39.7,21542
2007-02-13,39,39,63316
2007-02-14,39.4,39.4,38398
2007-02-15,41.3,41.3,135100
2007-02-16,43,43,71543
2007-02-19,46.4,46.4,119693
2007-02-20,49,49,112246
2007-02-21,47.5,47.5,91132
2007-02-22,47.2,47.2,20236
2007-02-23,47.9,47.9,30987
2007-02-26,47.5,47.5,16839
2007-02-27,48.3,48.3,59090
2007-02-28,46.4,46.4,83980
2007-03-01,47,47,10789
2007-03-02,45.9,45.9,37775
2007-03-05,42.9,42.9,111469
2007-03-06,44.7,44.7,61551
2007-03-07,46.8,46.8,41168
2007-03-08,47.7,47.7,35500
2007-03-09,47.5,47.5,6470
2007-03-13,48.9,48.9,80968
2007-03-14,48.3,48.3,72095
2007-03-15,48,48,20242
2007-03-16,47.8,47.8,8459
2007-03-19,47.2,47.2,12888
2007-03-20,47.2,47.2,6398
2007-03-21,47.9,47.9,30750
2007-03-22,47.6,47.6,26324
2007-03-23,47.6,47.6,26956
2007-03-26,47.5,47.5,10500
2007-03-27,47.5,47.5,6710
2007-03-28,48.1,48.1,25367
2007-03-29,47.7,47.7,13604
2007-03-30,47.3,47.3,28020
2007-04-02,47.5,47.5,19457
2007-04-03,47.3,47.3,20300
2007-04-04,47.5,47.5,18945
2007-04-05,47.4,47.4,21050
2007-04-06,47.2,47.2,12960
2007-04-10,47.4,47.4,13190
2007-04-11,47.4,47.4,19433
2007-04-12,47,47,22035
2007-04-13,47.2,47.2,61932
2007-04-16,47.6,47.6,29762
2007-04-17,49.2,49.2,79687
2007-04-18,48.1,48.1,51930
2007-04-19,47.7,47.7,25194
2007-04-20,48.1,48.1,22093
2007-04-23,48.5,48.5,21395
2007-04-24,48.1,48.1,31712
2007-04-27,48.4,48.4,7468
2007-05-02,47.6,47.6,21112
2007-05-03,48.1,48.1,16238
2007-05-04,48.1,48.1,21818
2007-05-07,49.3,49.3,56791
2007-05-08,48.8,48.8,9576
2007-05-09,48,48,48583
2007-05-10,47.3,47.3,20903
2007-05-11,47.4,47.4,22700
2007-05-14,47.5,47.5,12982
2007-05-15,46,46,50056
2007-05-16,45.9,45.9,10820
2007-05-17,45.9,45.9,22840
2007-05-18,46,46,15960
2007-05-21,45.5,45.5,25791
2007-05-22,45,45,21958
2007-05-23,44.6,44.6,45286
2007-05-24,43.9,43.9,13361
2007-05-25,45,45,180016
2007-05-28,45.6,45.6,14300
2007-05-29,45.3,45.3,10885
