data,pret inchidere,pret inchidere ajustat,volum
2008-01-24,274.5,274.5,33612
2008-01-25,282,282,28668
2008-01-28,269,269,9316
2008-01-29,273,273,3803
2008-01-30,274,274,3121
2008-01-31,265,265,10438
2008-02-01,267,267,6269
2008-02-04,267,267,2377
2008-02-05,270,270,11046
2008-02-06,258.3,258.3,6450
2008-02-07,259,259,1801
2008-02-08,259,259,3252
2008-02-11,253,253,5697
2008-02-12,250,250,5714
2008-02-13,249,249,2911
2008-02-14,250,250,1800
2008-02-15,242.5,242.5,5094
2008-02-18,231.7,231.7,6492
2008-02-19,230,230,6628
2008-02-20,230,230,5699
2008-02-21,241,241,5951
2008-02-22,241,241,10129
2008-02-25,254.1,254.1,7312
2008-02-26,259.9,259.9,7472
2008-02-27,255.3,255.3,5801
2008-02-28,253.1,253.1,1733
2008-02-29,251.3,251.3,3457
2008-03-03,240,240,5604
2008-03-04,240,240,1456
2008-03-05,240.1,240.1,4455
2008-03-06,241,241,4625
2008-03-07,235,235,7646
2008-03-10,235.5,235.5,754
2008-03-11,234,234,3645
2008-03-12,237,237,2304
2008-03-13,233,233,1643
2008-03-14,232.5,232.5,2349
2008-03-17,224,224,8878
2008-03-18,223.5,223.5,3773
2008-03-19,220,220,5428
2008-03-20,214,214,14203
2008-03-21,217.5,217.5,4643
2008-03-24,218.9,218.9,6113
2008-03-25,219,219,8229
2008-03-26,221.2,221.2,16411
2008-03-27,226.1,226.1,5850
2008-03-28,227,227,2131
2008-03-31,226,226,9352
2008-04-01,228,228,1233
2008-04-02,229,229,3464
2008-04-03,229,229,2356
2008-04-04,230.2,230.2,1798
2008-04-07,235,235,6685
2008-04-08,230,230,8989
2008-04-09,226.2,226.2,3110
2008-04-10,221,221,4330
2008-04-11,219,219,2676
2008-04-14,216,216,2647
2008-04-15,216.8,216.8,1266
2008-04-16,214.5,214.5,2616
2008-04-17,216.1,216.1,2068
2008-04-18,217,217,2232
2008-04-23,215.5,215.5,2276
2008-04-24,214,214,2478
2008-04-25,215.3,215.3,4224
2008-04-29,217,217,654
2008-04-30,219,219,3002
2008-05-05,227.3,227.3,3278
2008-05-06,228,228,5656
2008-05-07,224.9,224.9,3746
2008-05-08,222.6,222.6,1146
2008-05-09,219.2,219.2,874
2008-05-12,214.5,214.5,2481
2008-05-13,213.1,213.1,5221
2008-05-14,218.5,218.5,4766
2008-05-15,221,221,2580
2008-05-16,221,221,3929
2008-05-19,225.1,225.1,8756
2008-05-20,223.4,223.4,1328
2008-05-21,222.9,222.9,1401
2008-05-22,222.1,222.1,1673
2008-05-23,222.2,222.2,728
2008-05-26,222.5,222.5,14633
2008-05-27,222,222,1023
2008-05-28,223,223,2158
2008-05-29,227,227,4449
2008-05-30,234,234,20480
2008-06-02,232.5,232.5,2710
2008-06-03,232,232,741
2008-06-04,228.3,228.3,953
2008-06-05,227,227,1293
2008-06-06,226.4,226.4,3333
2008-06-09,222.2,222.2,2310
2008-06-10,220.4,220.4,2950
2008-06-11,221.1,221.1,1316
2008-06-12,222.6,222.6,2765
2008-06-13,222.1,222.1,636
2008-06-16,222.1,222.1,1127
2008-06-17,223,223,435
2008-06-18,222.1,222.1,717
2008-06-19,221.7,221.7,3639
2008-06-20,218.7,218.7,4215
2008-06-23,217.2,217.2,3512
2008-06-24,216,216,2877
2008-06-25,216,216,1032
2008-06-26,212,212,2735
2008-06-27,212,212,1082
2008-06-30,207,207,2185
2008-07-01,203.9,203.9,4682
2008-07-02,204.2,204.2,684
2008-07-03,204,204,1509
2008-07-04,205,205,2794
2008-07-07,204,204,1137
2008-07-08,201,201,1684
2008-07-09,205,205,1116
2008-07-10,202.5,202.5,523
2008-07-11,201.5,201.5,2629
2008-07-14,199.4,199.4,1866
2008-07-15,191.4,191.4,6519
2008-07-16,182.5,182.5,3477
2008-07-17,193,193,2889
2008-07-18,193,193,1356
2008-07-21,193,193,593
2008-07-22,191.7,191.7,2062
2008-07-23,195,195,3819
2008-07-24,195,195,1790
2008-07-25,192.8,192.8,1405
2008-07-28,192,192,1742
2008-07-29,195.4,195.4,3854
2008-07-30,198,198,2161
2008-07-31,196.5,196.5,3870
2008-08-01,191,191,4744
2008-08-04,195,195,1267
2008-08-05,196,196,4121
2008-08-06,196,196,1264
2008-08-07,199.9,199.9,1931
2008-08-08,200,200,922
2008-08-11,201.9,201.9,777
2008-08-12,199,199,1201
2008-08-13,199.5,199.5,2275
2008-08-14,201,201,2005
2008-08-15,202.1,202.1,1041
2008-08-18,200,200,2488
2008-08-19,194.8,194.8,932
2008-08-20,194.9,194.9,455
2008-08-21,193,193,1784
2008-08-22,193.9,193.9,3391
2008-08-25,192.7,192.7,998
2008-08-26,191.2,191.2,994
2008-08-27,192,192,197
2008-08-28,191,191,763
2008-08-29,191.1,191.1,1301
2008-09-01,191,191,406
2008-09-02,194.1,194.1,1667
2008-09-03,194.4,194.4,454
2008-09-04,193,193,515
2008-09-05,191,191,861
