data,pret inchidere,pret inchidere ajustat,volum
1997-10-15,0.0043,0.0481,129490
1997-10-16,0.0044,0.049,75714
1997-10-17,0.0039,0.0441,129680
1997-10-20,0.0038,0.0428,75428
1997-10-21,0.0034,0.0379,129379
1997-10-22,0.0034,0.0379,79942
1997-10-23,0.0035,0.0396,21795
1997-10-24,0.0034,0.0379,31700
1997-10-27,0.0035,0.0388,34179
1997-10-28,0.0031,0.0347,18134
1997-10-29,0.0033,0.0365,42458
1997-10-30,0.0031,0.0347,23314
1997-10-31,0.0032,0.0361,33268
1997-11-03,0.0032,0.0356,34415
1997-11-04,0.0032,0.0356,27522
1997-11-05,0.0031,0.0347,31930
1997-11-06,0.003,0.0339,44890
1997-11-07,0.0029,0.033,18630
1997-11-10,0.003,0.0339,313559
1997-11-11,0.0029,0.033,63161
1997-11-12,0.0029,0.0321,19807
1997-11-13,0.0025,0.0285,44070
1997-11-14,0.0025,0.0276,12133
1997-11-17,0.0025,0.0281,29502
1997-11-18,0.0024,0.0267,31639
1997-11-19,0.0024,0.0267,59005
1997-11-20,0.0024,0.0267,23571
1997-11-21,0.0025,0.0276,28602
1997-11-24,0.0025,0.0281,2253
1997-11-25,0.0024,0.0272,25234
1997-11-26,0.0024,0.0272,179505
1997-11-27,0.0024,0.0272,12854
1997-11-28,0.0024,0.0272,71687
1997-12-02,0.0025,0.0276,15666
1997-12-03,0.0024,0.0272,59620
1997-12-04,0.0024,0.0272,10790
1997-12-05,0.0025,0.0276,16005
1997-12-08,0.0025,0.0276,17016
1997-12-09,0.0025,0.0276,150000
1997-12-10,0.0026,0.029,112962
1997-12-11,0.0027,0.0303,77128
1997-12-12,0.0031,0.0347,159508
1997-12-15,0.0035,0.0388,174083
1997-12-16,0.0035,0.0392,80839
1997-12-17,0.0037,0.041,164995
1997-12-18,0.0036,0.0405,202761
1997-12-19,0.0035,0.0392,88059
1998-01-05,0.0028,0.0316,64883
1998-01-06,0.0028,0.0312,27254
1998-01-07,0.0029,0.0321,12472
1998-01-08,0.0031,0.0347,53895
1998-01-09,0.0029,0.033,20080
1998-01-12,0.0029,0.0325,6906
1998-01-13,0.0029,0.0325,14342
1998-01-14,0.0028,0.0312,45276
1998-01-15,0.0027,0.0303,23707
1998-01-16,0.0027,0.0298,16142
1998-01-19,0.0027,0.0298,14122
1998-01-20,0.0027,0.0307,50908
1998-01-21,0.0027,0.0303,17162
1998-01-22,0.0027,0.0298,23371
1998-01-23,0.0027,0.0303,6875
1998-01-26,0.0026,0.0294,40023
1998-01-27,0.0025,0.0276,58404
1998-01-28,0.0025,0.0285,57077
1998-01-29,0.0026,0.0294,16979
1998-01-30,0.0025,0.0285,208958
1998-02-02,0.0026,0.0294,11096
1998-02-03,0.0025,0.0276,32550
1998-02-04,0.0025,0.0281,41487
1998-02-05,0.0025,0.0281,25503
1998-02-06,0.0025,0.0276,22678
1998-02-09,0.0025,0.0281,57468
1998-02-10,0.0025,0.0276,32646
1998-02-11,0.0025,0.0281,81490
1998-02-12,0.0026,0.0294,104438
1998-02-13,0.0027,0.0298,62708
1998-02-16,0.0027,0.0303,52139
1998-02-17,0.003,0.0339,143217
1998-02-18,0.0028,0.0316,46307
1998-02-19,0.0029,0.0321,49179
1998-02-20,0.0029,0.0321,16953
1998-02-23,0.003,0.0339,65016
1998-02-24,0.0029,0.033,10948
1998-02-25,0.003,0.0334,23617
1998-02-26,0.003,0.0334,29093
1998-02-27,0.0029,0.0321,19132
1998-03-03,0.0028,0.0316,3437
1998-03-04,0.0029,0.0321,13946
1998-03-05,0.0028,0.0316,94421
1998-03-06,0.0028,0.0316,94775
1998-03-09,0.0029,0.0321,17338
1998-03-10,0.0028,0.0316,14072
1998-03-11,0.0028,0.0316,6161
1998-03-12,0.0029,0.0321,25321
1998-03-13,0.0028,0.0316,20409
1998-03-16,0.0029,0.0321,21905
1998-03-17,0.0029,0.0321,44180
1998-03-18,0.0028,0.0316,19282
1998-03-19,0.0029,0.0321,44694
1998-03-20,0.0029,0.0321,23757
1998-03-23,0.0028,0.0312,75468
1998-03-24,0.0027,0.0303,69992
1998-03-25,0.0026,0.0294,35278
1998-03-26,0.0029,0.0321,195911
1998-03-27,0.0027,0.0307,13117
1998-03-30,0.0027,0.0303,22206
1998-03-31,0.0026,0.0294,43968
1998-04-01,0.0026,0.0294,34731
1998-04-02,0.0027,0.0298,27167
1998-04-03,0.0027,0.0303,23235
1998-04-06,0.0026,0.0294,39866
1998-04-07,0.0027,0.0303,11865
1998-04-08,0.0026,0.029,14043
1998-04-09,0.0026,0.029,8595
1998-04-10,0.0025,0.0281,50398
1998-04-13,0.0023,0.0258,212687
1998-04-14,0.0024,0.0267,22024
1998-04-15,0.0023,0.0258,69463
1998-04-16,0.0024,0.0272,36112
1998-04-17,0.0025,0.0281,64204
1998-04-22,0.0025,0.0281,18955
1998-04-23,0.0025,0.0281,38926
1998-04-24,0.0025,0.0281,25197
1998-04-27,0.0025,0.0281,17768
1998-04-28,0.0025,0.0281,18755
1998-04-29,0.0025,0.0276,23017
1998-04-30,0.0025,0.0276,31125
1998-05-04,0.0025,0.0276,12287
1998-05-05,0.0024,0.0272,17806
1998-05-06,0.0024,0.0267,33679
1998-05-07,0.0025,0.0276,34082
1998-05-08,0.0023,0.0263,63915
1998-05-11,0.0023,0.0258,142621
1998-05-12,0.0024,0.0267,226064
1998-05-13,0.0024,0.0272,73566
1998-05-14,0.0024,0.0267,82880
1998-05-15,0.0023,0.0258,46826
1998-05-18,0.0023,0.0258,33950
1998-05-19,0.0022,0.0249,88276
1998-05-20,0.0022,0.0249,52963
1998-05-21,0.0023,0.0254,60682
1998-05-22,0.0023,0.0263,20992
1998-05-25,0.0023,0.0263,252580
1998-05-26,0.0024,0.0267,335043
1998-05-27,0.0026,0.0267,158398
1998-05-28,0.0024,0.0253,41507
1998-05-29,0.0023,0.0243,142865
1998-06-01,0.0023,0.0239,140310
1998-06-02,0.0025,0.0258,116634
1998-06-03,0.0026,0.0267,103632
1998-06-04,0.0026,0.0267,89769
1998-06-05,0.0025,0.0262,84471
1998-06-09,0.0026,0.0267,106429
1998-06-10,0.0025,0.0262,159700
1998-06-11,0.0025,0.0262,1825
1998-06-12,0.0026,0.0267,22676
1998-06-15,0.0026,0.0267,30457
1998-06-16,0.0026,0.0267,40054
1998-06-17,0.0026,0.0277,33658
1998-06-18,0.0026,0.0277,74346
1998-06-19,0.0027,0.0282,11280
1998-06-22,0.0026,0.0277,41320
1998-06-23,0.0026,0.0272,159059
1998-06-24,0.0026,0.0272,16350
1998-06-25,0.0026,0.0277,41159
1998-06-26,0.0025,0.0262,39207
1998-06-29,0.0025,0.0262,122437
1998-06-30,0.0025,0.0262,17773
